(Не изменять) Опасность;(Не изменять) Контрольная сумма строки;(Не изменять) Дата изменения;name
252d090a-0626-e911-a97e-000d3a22ca8c;adCqKKAOsU94El5h7wOVr9Ojip9X2DpSZG5scKC994+g+8shkUvwq8B770nH0FAntILHi1e2i8TseqoADaXQ+Q==;01.02.2019 09:45;Опасные грузы на транспорте
272d090a-0626-e911-a97e-000d3a22ca8c;Ie8YuZPhkHxfKWzcnBd8TgD1RsD2H2RC0/jiKNF3peDaK6KFNw8yMlcfadcmyEuvsqUEKSgBKCmeMNilxBBExA==;01.02.2019 09:45;Открытый огонь при прямом нагреве
292d090a-0626-e911-a97e-000d3a22ca8c;QovkK6YbStI+GMwdrZ30SgExpJryX4v90y6mx+GNViSY9HpD3wzk445BMG4oUtuqNqseGqN8rKAYUDPgaggGng==;01.02.2019 09:45;Отработанные машинные масла
2b2d090a-0626-e911-a97e-000d3a22ca8c;VRPhvkm2JsP3wsWm6+cr4foFpO/fgl2jVK0Fc2oMuxpEPeRDvfqK1n7IJlLECmuYdpurKYNnHD0BOEgQOGqa/w==;01.02.2019 09:45;Падение предметов с высоты
2d2d090a-0626-e911-a97e-000d3a22ca8c;9kBmgNZYCKXfxMGOMuCGZatF07tpokfRQX270Te65/YfHBC+N068l51UxFXxM7LfQz4gfo3MAiBSCEb6aVuRYg==;01.02.2019 09:45;Пар под давлением
2f2d090a-0626-e911-a97e-000d3a22ca8c;YFrLn85JlueJc13sPyfbtpFOn5ZrmNtdsQ+aG9RW/LpgEJ+6tyR2GjX/Vu5fu8j+lq/I2Ic3N8pPY+9BPBkKQA==;01.02.2019 09:45;Паразиты и насекомые-переносчики заболеваний
312d090a-0626-e911-a97e-000d3a22ca8c;GZcwjPVBBOJJZSJ1/HylfQhW+PDk5X4aj6nlNSTZ2/TFsNle+82rABg4JjxsTBtihp0FQThEqY1K3StuRYAWiw==;01.02.2019 09:45;Парафин
332d090a-0626-e911-a97e-000d3a22ca8c;DTF1zGmXAVGWteeIMeKh3Z7YSioXj5xkr0VTQeydGikKLViyPOJLSlJXzrlG5IXm6oKLHMnJ8BifgoC7c7hOJQ==;01.02.2019 09:45;Пищевые бактерии (например, E Coli)
352d090a-0626-e911-a97e-000d3a22ca8c;ESPdaGRX3775Zow9YxFxQ5K5AAh80GlfBHZhmg/x8CkmgW1TjM7mRssBsImEpj/on+LJYTcr8rnwvbf7ILweUg==;01.02.2019 09:45;Плохая организация и проектирование работ
372d090a-0626-e911-a97e-000d3a22ca8c;39GzmyCy1GCU/Si/aUlAYbwhFO1iXHnnxE0jtjyH02IeqhZ5frNIL9DEKLOmXqMtc0O5G75qK62P76iVE9GTnw==;01.02.2019 09:45;Повреждающий шум
392d090a-0626-e911-a97e-000d3a22ca8c;tSzyR3Jl2CbM31TIfl6f97rOF+xwQqMuPW4acU5Y7z2Jzs0loogTDmcqZSLxHWs6k3UjVlle9n37jhiCxZVNkg==;01.02.2019 09:45;Подвесное оборудование
